"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"21122",-0.5,"L1 1",24,"reflexive","tt","reflexive tt",4,0,177,177,0.5,0.5,177
"21124",-0.5,"L1 1",12,"reflexive","tt","reflexive tt",4,0,654,654,0.5,0.5,654
"21126",-0.5,"L1 1",6,"reflexive","tt","reflexive tt",2,0,324,324,-0.5,0.5,324
"21128",-0.5,"L1 1",7,"reflexive","tt","reflexive tt",3,0,661,661,0.5,-0.5,661
"21130",-0.5,"L1 1",14,"reflexive","tt","reflexive tt",2,0,463,463,-0.5,0.5,463
"21132",-0.5,"L1 1",21,"reflexive","tt","reflexive tt",1,0,383,383,-0.5,-0.5,383
"21134",-0.5,"L1 1",19,"reflexive","tt","reflexive tt",3,0,346,346,0.5,-0.5,346
"21136",-0.5,"L1 1",17,"reflexive","tt","reflexive tt",1,0,547,547,-0.5,-0.5,547
"21138",-0.5,"L1 1",10,"reflexive","tt","reflexive tt",2,0,592,592,-0.5,0.5,592
"21140",-0.5,"L1 1",23,"reflexive","tt","reflexive tt",3,0,926,926,0.5,-0.5,926
"21142",-0.5,"L1 1",15,"reflexive","tt","reflexive tt",3,0,487,487,0.5,-0.5,487
"21144",-0.5,"L1 1",1,"reflexive","tt","reflexive tt",1,0,317,317,-0.5,-0.5,317
"21146",-0.5,"L1 1",2,"reflexive","tt","reflexive tt",2,0,659,659,-0.5,0.5,659
"21148",-0.5,"L1 1",5,"reflexive","tt","reflexive tt",1,0,179,179,-0.5,-0.5,179
"21150",-0.5,"L1 1",16,"reflexive","tt","reflexive tt",4,0,448,448,0.5,0.5,448
"21152",-0.5,"L1 1",3,"reflexive","tt","reflexive tt",3,0,224,224,0.5,-0.5,224
"21154",-0.5,"L1 1",13,"reflexive","tt","reflexive tt",1,0,1196,1196,-0.5,-0.5,1196
"21156",-0.5,"L1 1",11,"reflexive","tt","reflexive tt",3,0,191,191,0.5,-0.5,191
"21158",-0.5,"L1 1",9,"reflexive","tt","reflexive tt",1,0,203,203,-0.5,-0.5,203
"21160",-0.5,"L1 1",8,"reflexive","tt","reflexive tt",4,0,397,397,0.5,0.5,397
"21162",-0.5,"L1 1",4,"reflexive","tt","reflexive tt",4,0,531,531,0.5,0.5,531
"21164",-0.5,"L1 1",20,"reflexive","tt","reflexive tt",4,0,898,898,0.5,0.5,898
"21166",-0.5,"L1 1",18,"reflexive","tt","reflexive tt",2,0,407,407,-0.5,0.5,407
"21168",-0.5,"L1 1",22,"reflexive","tt","reflexive tt",2,0,763,763,-0.5,0.5,763
"21170",-0.5,"L1 2",14,"reflexive","tt","reflexive tt",3,0,527,527,0.5,-0.5,527
"21172",-0.5,"L1 2",4,"reflexive","tt","reflexive tt",1,1,0,NA,-0.5,-0.5,NA
"21174",-0.5,"L1 2",19,"reflexive","tt","reflexive tt",4,0,401,401,0.5,0.5,401
"21176",-0.5,"L1 2",1,"reflexive","tt","reflexive tt",2,0,263,263,-0.5,0.5,263
"21178",-0.5,"L1 2",5,"reflexive","tt","reflexive tt",2,0,748,748,-0.5,0.5,748
"21180",-0.5,"L1 2",15,"reflexive","tt","reflexive tt",4,0,843,843,0.5,0.5,843
"21182",-0.5,"L1 2",7,"reflexive","tt","reflexive tt",4,0,710,710,0.5,0.5,710
"21184",-0.5,"L1 2",18,"reflexive","tt","reflexive tt",3,0,179,179,0.5,-0.5,179
"21186",-0.5,"L1 2",6,"reflexive","tt","reflexive tt",3,1,0,NA,0.5,-0.5,NA
"21188",-0.5,"L1 2",22,"reflexive","tt","reflexive tt",3,0,502,502,0.5,-0.5,502
"21190",-0.5,"L1 2",10,"reflexive","tt","reflexive tt",3,0,522,522,0.5,-0.5,522
"21192",-0.5,"L1 2",8,"reflexive","tt","reflexive tt",1,0,206,206,-0.5,-0.5,206
"21194",-0.5,"L1 2",24,"reflexive","tt","reflexive tt",1,0,172,172,-0.5,-0.5,172
"21196",-0.5,"L1 2",17,"reflexive","tt","reflexive tt",2,0,338,338,-0.5,0.5,338
"21198",-0.5,"L1 2",2,"reflexive","tt","reflexive tt",3,1,0,NA,0.5,-0.5,NA
"21200",-0.5,"L1 2",11,"reflexive","tt","reflexive tt",4,1,0,NA,0.5,0.5,NA
"21202",-0.5,"L1 2",3,"reflexive","tt","reflexive tt",4,0,231,231,0.5,0.5,231
"21204",-0.5,"L1 2",21,"reflexive","tt","reflexive tt",2,0,138,138,-0.5,0.5,138
"21206",-0.5,"L1 2",20,"reflexive","tt","reflexive tt",1,0,181,181,-0.5,-0.5,181
"21208",-0.5,"L1 2",16,"reflexive","tt","reflexive tt",1,0,188,188,-0.5,-0.5,188
"21210",-0.5,"L1 2",13,"reflexive","tt","reflexive tt",2,0,628,628,-0.5,0.5,628
