"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"3842",-0.5,"L1 1",24,"spillover","fp","spillover fp",4,0,323,323,0.5,0.5,323
"3844",-0.5,"L1 1",12,"spillover","fp","spillover fp",4,0,879,879,0.5,0.5,879
"3846",-0.5,"L1 1",6,"spillover","fp","spillover fp",2,0,169,169,-0.5,0.5,169
"3848",-0.5,"L1 1",7,"spillover","fp","spillover fp",3,0,195,195,0.5,-0.5,195
"3850",-0.5,"L1 1",14,"spillover","fp","spillover fp",2,0,644,644,-0.5,0.5,644
"3852",-0.5,"L1 1",21,"spillover","fp","spillover fp",1,0,681,681,-0.5,-0.5,681
"3854",-0.5,"L1 1",19,"spillover","fp","spillover fp",3,0,511,511,0.5,-0.5,511
"3856",-0.5,"L1 1",17,"spillover","fp","spillover fp",1,0,648,648,-0.5,-0.5,648
"3858",-0.5,"L1 1",10,"spillover","fp","spillover fp",2,0,126,126,-0.5,0.5,126
"3860",-0.5,"L1 1",23,"spillover","fp","spillover fp",3,0,359,359,0.5,-0.5,359
"3862",-0.5,"L1 1",15,"spillover","fp","spillover fp",3,0,160,160,0.5,-0.5,160
"3864",-0.5,"L1 1",1,"spillover","fp","spillover fp",1,0,593,593,-0.5,-0.5,593
"3866",-0.5,"L1 1",2,"spillover","fp","spillover fp",2,0,150,150,-0.5,0.5,150
"3868",-0.5,"L1 1",5,"spillover","fp","spillover fp",1,0,515,515,-0.5,-0.5,515
"3870",-0.5,"L1 1",16,"spillover","fp","spillover fp",4,0,169,169,0.5,0.5,169
"3872",-0.5,"L1 1",3,"spillover","fp","spillover fp",3,0,760,760,0.5,-0.5,760
"3874",-0.5,"L1 1",13,"spillover","fp","spillover fp",1,0,178,178,-0.5,-0.5,178
"3876",-0.5,"L1 1",11,"spillover","fp","spillover fp",3,0,695,695,0.5,-0.5,695
"3878",-0.5,"L1 1",9,"spillover","fp","spillover fp",1,0,1228,1228,-0.5,-0.5,1228
"3880",-0.5,"L1 1",8,"spillover","fp","spillover fp",4,0,1052,1052,0.5,0.5,1052
"3882",-0.5,"L1 1",4,"spillover","fp","spillover fp",4,0,642,642,0.5,0.5,642
"3884",-0.5,"L1 1",20,"spillover","fp","spillover fp",4,0,187,187,0.5,0.5,187
"3886",-0.5,"L1 1",18,"spillover","fp","spillover fp",2,0,467,467,-0.5,0.5,467
"3888",-0.5,"L1 1",22,"spillover","fp","spillover fp",2,0,567,567,-0.5,0.5,567
"3890",-0.5,"L1 2",14,"spillover","fp","spillover fp",3,0,301,301,0.5,-0.5,301
"3892",-0.5,"L1 2",4,"spillover","fp","spillover fp",1,0,431,431,-0.5,-0.5,431
"3894",-0.5,"L1 2",19,"spillover","fp","spillover fp",4,0,395,395,0.5,0.5,395
"3896",-0.5,"L1 2",1,"spillover","fp","spillover fp",2,0,421,421,-0.5,0.5,421
"3898",-0.5,"L1 2",5,"spillover","fp","spillover fp",2,0,359,359,-0.5,0.5,359
"3900",-0.5,"L1 2",15,"spillover","fp","spillover fp",4,0,122,122,0.5,0.5,122
"3902",-0.5,"L1 2",7,"spillover","fp","spillover fp",4,0,251,251,0.5,0.5,251
"3904",-0.5,"L1 2",18,"spillover","fp","spillover fp",3,0,273,273,0.5,-0.5,273
"3906",-0.5,"L1 2",6,"spillover","fp","spillover fp",3,0,439,439,0.5,-0.5,439
"3908",-0.5,"L1 2",22,"spillover","fp","spillover fp",3,0,404,404,0.5,-0.5,404
